"	num_examples	official_name_id_x	id	text_name	author	rank	deprecated	synonym_id	correct_spelling_id	official_name_id_y",,,
"4776	274	19757.0	19757	Entoloma murrayi	(Berk. & M.A. Curtis) Sacc.	4	0	3180.0		-1",,,
"5445	274	24739.0	24739	Psilocybe fagicola	R. Heim & Cailleux	4	0	3007.0		-1",,,
"203	275	293.0	293	Cortinarius iodes	Berk. & M.A. Curtis	4	0	92.0		-1",,,
"1724	275	3888.0	3888	Tricholomopsis decora	(Fr.) Singer	4	0	639.0		-1",,,
"2124	275	5508.0	5508	Agaricus moelleri	Wasser	4	0	18.0		-1",,,
"95	276	141.0	141	Oligoporus caesius	(Schrad.) Gilb. & Ryvarden	4	0	524.0		-1",,,
"266	276	393.0	393	Agaricus hondensis	Murrill	4	0			-1",,,
"1728	276	3911.0	3911	Tremellodendron schweinitzii	(Peck) G.F. Atk.	4	0	5947.0		-1",,,
"341	277	507.0	507	Morchella rufobrunnea	GuzmÃ¡n & F. Tapia	4	0			-1",,,
"9489	277	58599.0	58599	Phaeotremella foliacea	(Pers.) Wedin", J.C. Zamora & Millanes,"	4	0	5512.0		-1",
"24	278	43.0	43	Suillus tomentosus	(Kauffman) Singer	4	0	3024.0		-1",,,
"1036	278	2215.0	2215	Galiella rufa	(Schwein.) Nannf. & Korf	4	0			-1",,,
"2268	278	5846.0	5846	Amanita banningiana	Tulloss nom. prov.	4	0	5932.0		-1",,,
"1948	280	4974.0	4974	Psathyrella delineata	(Peck) A.H. Sm.	4	0	536.0		-1",,,
"6273	280	28780.0	28780	Kuehneromyces marginellus	(Peck) Redhead	4	0	4121.0		-1",,,
"8354	281	44246.0	44246	Imleria badia	(Fr.) Vizzini	4	0	4490.0		-1",,,
"3890	282	15154.0	15154	Coprinopsis variegata	(Peck) Redhead"," Vilgalys & Moncalvo	4	0	2561.0		-1",,
"1514	283	3475.0	3475	Psilocybe baeocystis	Singer & A.H. Sm.	4	0			-1",,,
"2002	284	5161.0	5161	Ampulloclitocybe clavipes	(Pers.) Redhead", Lutzoni," Moncalvo & Vilgalys	4	0	590.0		-1",
"5166	284	22114.0	22114	Amanita amerifulva	Tulloss nom. prov.	4	0			-1",,,
"500	285	933.0	933	Leucopaxillus albissimus	(Peck) Singer	4	0	3962.0		-1",,,
"109	286	166.0	166	Marasmius plicatulus	Peck	4	0	6168.0		-1",,,
"272	286	399.0	399	Agaricus bitorquis	(QuÃ©l.) Sacc.	4	0	15.0		-1",,,
"629	286	1165.0	1165	Cortinarius semisanguineus	(Fr.) Gill.	4	0	103.0		-1",,,
"281	287	411.0	411	Trichaptum abietinum	(Dicks.) Ryvarden	4	0	388.0		-1",,,
"1157	287	2522.0	2522	Hygrocybe cantharellus	(Schwein.) Murrill	4	0	5752.0		-1",,,
"7339	287	31567.0	31567	Harrya chromapes	(Frost) Halling", Nuhn, Osmundson," & Manfr. Binder	4	0	682.0		-1"
"816	289	1600.0	1600	Callistosporium luteo-olivaceum	(Berk. & M.A. Curtis) Singer	4	0	3420.0		-1",,,
"8819	289	47723.0	47723	Amanita lavendula	(Coker) Tulloss", K.W. Hughes, Rodrig. Cayc.," & Kudzma	4	0	5673.0		-1"
"175	290	257.0	257	Gomphidius subroseus	Kauffman	4	0			-1",,,
"672	290	1252.0	1252	Cortinarius caperatus	(Pers.) Fr.	4	0	498.0		-1",,,
"1517	290	3483.0	3483	Psilocybe mexicana	R. Heim	4	0	4508.0		-1",,,
"335	292	497.0	497	Battarrea phalloides	(Dicks.) Pers.	4	0	35.0		-1",,,
"595	292	1091.0	1091	Cystoderma amianthinum	(Scop.) Fayod	4	0	715.0		-1",,,
"2238	292	5777.0	5777	Gerronema strombodes	(Berk. & Mont.) Singer	4	0	2559.0		-1",,,
"363	294	536.0	536	Astraeus hygrometricus	(Pers.) Morgan	4	0			-1",,,
"583	294	1068.0	1068	Amanita porphyria	Alb. & Schwein.	4	0	569.0		-1",,,
"457	295	707.0	707	Tapinella panuoides	(Batsch) E.-J. Gilbert	4	0	523.0		-1",,,
"760	295	1430.0	1430	Amanita ravenelii	(Berk. & M.A. Curt.) Sacc.	4	0			-1",,,
"3895	295	15168.0	15168	Hohenbuehelia petaloides	(Bull.) Schulzer	4	0	3465.0		-1",,,
"1964	296	5034.0	5034	Infundibulicybe gibba	(Pers.) Harmaja	4	0	77.0		-1",,,
"4753	296	19382.0	19382	Psilocybe aztecorum	R. Heim	4	0	2712.0		-1",,,
"1950	297	4981.0	4981	Simocybe centunculus	(Fr.) P. Karst.	4	0	534.0		-1",,,
"6187	298	28478.0	28478	Psilocybe yungensis	Singer & A.H. Sm	4	0	3522.0		-1",,,
"7374	299	31676.0	31676	Cuphophyllus virgineus	(Wulfen) Kovalenko	4	0	4570.0		-1",,,
"9103	301	50813.0	50813	Hemileccinum subglabripes	(Peck) Halling	4	0	677.0		-1",,,
"585	302	1071.0	1071	Pleurotus dryinus	(Pers.) P. Kumm.	4	0	312.0		-1",,,
"5076	303	21371.0	21371	Retiboletus griseus	(Frost) Manfr. Binder & Bresinsky	4	0			-1",,,
"149	304	222.0	222	Hygrophorus eburneus	(Bull.) Fr.	4	0	2820.0		-1",,,
"9667	304	59505.0	59505	Butyriboletus frostii	(J.L. Russell) G. Wu", Kuan Zhao & Zhu L. Yang," comb. nov.	4	0	4593.0		-1",
"355	307	525.0	525	Tyromyces chioneus	(Fr.) P. Karst.	4	0	402.0		-1",,,
"322	308	472.0	472	Lyophyllum decastes	(Fr.) Singer	4	0	255.0		-1",,,
"2185	308	5663.0	5663	Laetiporus cincinnatus	(Morgan) Burdsall", Banik," & Volk	4	0	3301.0		-1",
"6383	308	29056.0	29056	Tylopilus plumbeoviolaceus	(Snell & E.A. Dick) Singer	4	0	3438.0		-1",,,
"7933	308	41044.0	41044	Lactifluus hygrophoroides	(Berk. & M.A. Curtis) Kuntze	4	0	4524.0		-1",,,
"594	309	1090.0	1090	Rhodocollybia maculata	(Alb. & Schwein.) Singer	4	0	347.0		-1",,,
"2050	310	5314.0	5314	Clitocybe nebularis	(Batsch) P. Kumm.	4	0	594.0		-1",,,
"1481	311	3357.0	3357	Pholiota squarrosoides	(Peck) Sacc.	4	0			-1",,,
"1220	312	2700.0	2700	Irpex lacteus	(Fr.) Fr.	4	0	3228.0		-1",,,
"1519	312	3486.0	3486	Psilocybe semilanceata	(Fr.) P. Kumm.	4	0	2692.0		-1",,,
"2	313	4.0	4	Xylaria hypoxylon	(L.) Grev.	4	0	3692.0		-1",,,
"561	313	1028.0	1028	Calvatia cyathiformis	(Bosc) Morgan	4	0	3034.0		-1",,,
"2358	313	6107.0	6107	Gloeoporus dichrous	(Fr.) Bres.	4	0	4527.0		-1",,,
"129	315	193.0	193	Lactarius xanthogalactus	Peck	4	0	5579.0		-1",,,
"1795	315	4205.0	4205	Dacryopinax spathularia	(Schwein.) G.W. Martin	4	0			-1",,,
"386	318	576.0	576	Calocera cornea	(Batsch) Fr.	4	0			-1",,,
"4815	318	20117.0	20117	Deconica coprophila	(Bull.) P. Karst.	4	0	2720.0		-1",,,
"1424	319	3214.0	3214	Copelandia cyanescens	(Berk. & Broome) Singer	4	0	2800.0		-1",,,
"5318	319	23861.0	23861	Clavaria fragilis	Holmsk.	4	0	3037.0		-1",,,
"2058	321	5346.0	5346	Psilocybe azurescens	Stamets & Gartz	4	0	3080.0		-1",,,
"2096	323	5422.0	5422	Tremella aurantia	Schwein.	4	0			-1",,,
"314	324	458.0	458	Bjerkandera adusta	(Willd.) P. Karst.	4	0	4664.0		-1",,,
"1114	324	2412.0	2412	Gymnopilus junonius	(Fr.) P.D. Orton	4	0	6034.0		-1",,,
"101	325	153.0	153	Mycena acicula	(Schaeff.) P. Kumm.	4	0			-1",,,
"0	326	2.0	2	Xylaria polymorpha	(Pers.) Grev.	4	0			-1",,,
"2192	326	5681.0	5681	Kretzschmaria deusta	(Hoffm.) P.M.D. Martin	4	0	625.0		-1",,,
"342	327	508.0	508	Chalciporus piperatus	(Bull.) Bataille	4	0	688.0		-1",,,
"5535	327	25128.0	25128	Echinoderma asperum	(Pers.) Bon	4	0	3827.0		-1",,,
"2024	328	5224.0	5224	Lichenomphalia umbellifera	(L.) Redhead", Lutzoni," Moncalvo & Vilgalys	4	0	611.0		-1",
"630	329	1169.0	1169	Bondarzewia berkeleyi	(Fr.) Bondartsev & Singer	4	0			-1",,,
"188	330	272.0	272	Exidia glandulosa	(Bull.) Fr.	4	0			-1",,,
"1011	330	2078.0	2078	Cyathus striatus	(Huds.) Willd.	4	0			-1",,,
"636	332	1178.0	1178	Lentinellus ursinus	(Fr.) KÃ_hner	4	0	3928.0		-1",,,
"705	332	1323.0	1323	Scleroderma areolatum	Ehrenb.	4	0	364.0		-1",,,
"1934	332	4932.0	4932	Hydnum umbilicatum	Peck	4	0	519.0		-1",,,
"2329	332	6041.0	6041	Hypomyces chrysospermus	Tul. & C. Tul.	4	0	2505.0		-1",,,
"26	333	45.0	45	Suillus lakei	(Murrill) A.H. Sm. & Thiers	4	0	2565.0		-1",,,
