id	name	north	south	east	west
279	Forest 44 Conservation Area, Saint Louis Co., Missouri, USA	38.5318	38.5118	-90.5073	-90.5473
280	Broad Meadow Brook, Worcester, Massachusetts, USA	42.2455	42.2196	-71.7637	-71.7871
281	Alpharetta, Georgia, USA	34.088	34.0566	-84.2466	-84.306
282	Roswell, Georgia, USA	34.0515	34.0143	-84.3178	-84.3584
283	Fulton Co., Georgia, USA	33.8944	33.5758	-84.3786	-84.6508
285	Cherokee Co., Georgia, USA	34.3766	34.0903	-84.2902	-84.6269
286	Planoles, Vall de Ribes, Girona, Spain	42.2896	42.2894	2.088	2.087
287	Georgia, USA	34.994	30.5623	-80.7715	-85.6934
288	La Crosse, Wisconsin, USA	44	43.7	-91.1	-91.4
290	southeastern Ontario, Ontario, Canada	46.3166	42.2936	-74.4057	-83.2039
291	Boone, North Carolina, USA	36.241	36.175	-81.6188	-81.7156
292	Hershey, Pennsylvania, USA	40.3204	40.2575	-76.5994	-76.7024
293	Highlands, North Carolina, USA	35.0952	35.0277	-83.1624	-83.2613
294	Zaleski State Forest, Ohio, USA	39.3853	39.2673	-82.3041	-82.4716
295	Gothenburg, Sweden	57.795	57.5659	12.2278	11.7664
296	near Ithaca, Tompkins Co., New York, USA	42.483	42.406	-76.358	-76.543
297	Kinns Rd. Park, Clifton Park, New York, USA	42.8892	42.8823	-73.8065	-73.8123
298	Portland, Oregon, USA	45.6256	45.3792	-122.459	-122.866
299	Surprise Lake, Snohomish Co., Washington, USA	47.7038	47.6672	-121.138	-121.163
300	Southeastern Wilton, New York, USA	43.119	43.097	-73.6578	-73.6882
301	San Leandro, California, USA	37.735	37.694	-122.108	-122.194
302	Pasadena, California, USA	34.1689	34.1192	-118.063	-118.175
303	Little Grand Canyon, Carbondale, Illinois, USA	37.6803	37.6803	-89.395	-89.395
304	Michigan State University, East Lansing, Michigan, USA	42.7354	42.7118	-84.4624	-84.4977
305	Mount Pisgah Arboretum, Lane Co., Oregon, USA	44.0241	43.9895	-122.942	-122.997
306	Babcock State Park, Fayette Co., West Virginia, USA	38.0062	37.9617	-80.9038	-80.9879
307	Camp Magruder, Rockaway Beach, Tillamook Co., Oregon, USA	45.5828	45.5762	-123.949	-123.953
308	World Forestry Center, Washington Park, Portland, Multnomah Co., Oregon, USA	45.5112	45.5086	-122.718	-122.719
309	Carnifex Ferry Battlefield State Park, Nicholas Co., West Virginia, USA	38.2143	38.1974	-80.9286	-80.9455
310	Keene, New York, USA	44.2671	44.2462	-73.779	-73.802
311	Laguna Azul Trail, Pilón Lajas Biosphere Reserve and Communal Lands, Rurrenabaque Municipality, José Ballivián Province, Beni Department, Bolivia	-14.8612	-14.8877	-67.2926	-67.4004
312	Bella Vista, San Jose Municipality, Chiquitos Province, Santa Cruz Department, Bolivia	-17.2418	-17.3244	-61.2721	-61.3985
